"popularity","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence"
0,0.861,0.25,568733,0.021,0.0356,-1.39030238251743,-2.92432960017536,-3.2570970376884,123.736,0.0397
44,0.788,0.119,271520,0.346,2.2e-05,-2.04794287462046,-2.0077201612114,-3.28075122858629,64.63,0.135
48,0.991,0.183,210533,0.0702,5.89e-05,-0.778705068921592,-2.81168585488402,-2.95459033022282,71.221,0.118
47,0.963,0.203,196088,0.1,0.849,-1.97328134585145,-2.71038524318164,-3.24419363285249,66.717,0.0596
23,0.985,0.367,321387,0.0902,0.00395,-2.49981726252375,-2.76486713835879,-2.8877751320489,176.348,0.565
35,0.89,0.455,174613,0.271,0.229,-2.56915820223559,-2.51978960198561,-3.19907319757202,117.309,0.569
24,0.995,0.369,272335,0.00431,0.887,-2.59561477177242,-3.25745821669187,-2.87883852208249,69.69,0.124
10,0.931,0.263,48488,0.14,0.768,-1.22417551164346,-2.53487133447204,-3.34387231504289,144.677,0.158
30,0.0245,0.546,255893,0.54,0,-2.00248050054371,-2.02379901351163,-3.70908216143146,87.532,0.183
4,0.983,0.278,64387,0.267,0.663,-1.11474167059799,-2.52078668644568,-3.40219788199574,100.934,0.307
37,0.995,0.45,85707,0.00251,0.926,-2.86295116232017,-3.38301797368547,-2.92807362508018,62.44,0.0896
40,0.000595,0.463,308653,0.944,4.3e-06,-2.24431618487007,-1.86702090782737,-1.66073120682165,179.981,0.465
14,0.976,0.368,431093,0.0882,0.485,-2.54848563143087,-2.62486015883914,-3.15121717639439,146.366,0.415
7,0.978,0.368,468707,0.0563,0.543,-2.31871447492393,-2.8767059818247,-3.33540964112415,116.633,0.192
35,0.995,0.338,123800,0.0131,0.899,-2.59026716544583,-2.93377088284739,-2.12863178587061,72.112,0.0353
40,0.772,0.218,261182,0.537,5.93e-05,-1.33180617583582,-2.06986439868801,-3.02825546525955,138.616,0.187
2,0.974,0.425,156600,0.185,0.00402,-2.93557835073424,-2.42258767441235,-2.92434227746732,132.458,0.215
15,0.956,0.465,221916,0.3,0.236,-1.4784096500277,-2.80725161128366,-2.95075890791126,84.076,0.557
17,0.925,0.388,454440,0.248,0.653,-2.00991547903123,-2.55028831803421,-3.18447439815087,149.213,0.402
37,0.992,0.523,301280,0.136,0.88,-2.3156703325427,-2.8047538291615,-3.42959685618385,69.126,0.306
33,0.933,0.24,401587,0.14,0.0087599999999999,-2.14558134418438,-2.67828954493975,-3.17246945205404,65.525,0.0304
49,0.973,0.138,544800,0.0967,0.919,-2.80511191394534,-2.81707256190106,-3.25450300251135,65.605,0.0384
25,0.912,0.551,301708,0.262,0.722,-2.46982101236996,-2.77641758591668,-3.29954372793566,112.474,0.737
36,0.991,0.209,287867,0.129,0.0526,-2.5408422821183,-2.4066942733955,-3.14655516328857,77.514,0.073
56,0.993,0.278,333707,0.00448,0.926,-2.84903789440319,-3.20419372032092,-2.94124408826992,70.871,0.0391
29,0.995,0.348,78733,0.0409999999999999,0.934,-2.25379492882461,-2.99354166215662,-2.93746336543002,137.049,0.179
30,0.994,0.164,282560,0.0366,0.532,-2.55490002160854,-2.9038000125366,-3.15121717639439,138.408,0.0337
35,0.0211,0.4,312693,0.663,0,-1.89711998488588,-1.92181685659249,-3.55085815621656,80.06,0.27
39,0.936,0.138,204266,0.341,0.0737,-0.382725621138675,-2.51130876757659,-2.06356819252355,165.716,0.189
31,0.965,0.402,527386,0.114,0.498,-3.07045581974993,-2.75295550019118,-3.06830296638883,123.984,0.214
30,0.886,0.393,84867,0.0146,0.193,-2.00991547903123,-2.92542059357196,-2.75671537308349,113.786,0.0629
0,0.969,0.562,15509,0.125,0.00138,-0.986176859338322,-2.49057786731102,-1.60445037092306,115.827,0.574
0,0.828,0.289,44307,0.0548,3.2e-06,-2.18925640768704,-3.00465942616936,-3.15590102570681,128.63,0.217
47,0.0027199999999999,0.268,300419,0.948,9.64e-06,-1.26584820804402,-1.48124803420369,-2.48171175889148,96.015,0.435
10,0.988,0.423,492533,0.122,0.718,-0.387134151423441,-2.88137087513999,-3.09665819214395,126.181,0.318
46,0.989,0.391,158373,0.0704,0.841,-2.15416508787577,-2.93039765984247,-3.28876195233237,163.995,0.229
34,0.995,0.309,216787,0.0302,0.891,-2.52447942490782,-3.05502173717058,-2.8895720777256,68.364,0.0588
37,0.0123,0.404,134453,0.458,0.748,-1.10262031006565,-1.93178300869167,-3.56136613381498,80.767,0.346
0,0.974,0.359,360840,0.108,0.871,-2.57046453814965,-2.78740087590836,-2.96617347131245,100.112,0.37
0,0.96,0.231,305080,0.189,0.00259,-0.41855034765682,-2.90075287626698,-2.73183072976761,77.235,0.151
2,0.982,0.372,163053,0.159,1.46e-06,-1.80180980508156,-2.7645618739288,-3.31318650433944,135.617,0.512
29,0.941,0.103,384507,0.0843,0.877,-2.47574871200323,-2.7863708417711,-3.11677060193105,85.613,0.0352
44,0.979,0.326,523000,0.0153,0.175,-2.36765708973776,-3.18977858350577,-3.20398721237445,85.874,0.139
47,0.994,0.527,159333,0.0291,0.917,-2.34444929709274,-3.15305825434805,-2.6023397466801,99.331,0.28
36,0.865,0.124,179453,0.309,0.8,-2.2730262907525,-2.51363219683769,-3.36390159691846,63.827,0.0796
46,0.955,0.17,201600,0.0703,0.43,-2.55490002160854,-2.92592684972504,-2.94503915923847,86.092,0.0985
0,0.904,0.225,253067,0.139,0.256,-2.22562405185792,-2.88818018995275,-2.86295116232017,168.084,0.314
