"","instance_id","artist_name","track_name","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","obtained_date","valence","music_genre"
"1",32894,"Röyksopp","Röyksopp's Night Out",27,0.00468,0.652,-1,0.941,0.792,"A#",0.115,-5.201,"Minor",0.0748,"100.889","4-Apr",0.759,"Electronic"
"2",46652,"Thievery Corporation","The Shining Path",31,0.0127,0.622,218293,0.89,0.95,"D",0.124,-7.043,"Minor",0.03,"115.00200000000001","4-Apr",0.531,"Electronic"
"3",30097,"Dillon Francis","Hurricane",28,0.00306,0.62,215613,0.755,0.0118,"G#",0.534,-4.617,"Major",0.0345,"127.994","4-Apr",0.333,"Electronic"
"4",62177,"Dubloadz","Nitro",34,0.0254,0.774,166875,0.7,0.00253,"C#",0.157,-4.498,"Major",0.239,"128.014","4-Apr",0.27,"Electronic"
"5",24907,"What So Not","Divide & Conquer",32,0.00465,0.638,222369,0.587,0.909,"F#",0.157,-6.266,"Major",0.0413,"145.036","4-Apr",0.323,"Electronic"
"6",89064,"Axel Boman","Hello",47,0.0052299999999999,0.755,519468,0.731,0.854,"D",0.216,-10.517,"Minor",0.0412,"?","4-Apr",0.614,"Electronic"
"7",43760,"Jordan Comolli","Clash",46,0.0289,0.572,214408,0.803,7.74e-06,"B",0.106,-4.294,"Major",0.351,"149.995","4-Apr",0.23,"Electronic"
"8",30738,"Hraach","Delirio",43,0.0297,0.809,416132,0.706,0.903,"G",0.0635,-9.339,"Minor",0.0484,"120.008","4-Apr",0.761,"Electronic"
"9",84950,"Kayzo","NEVER ALONE",39,0.00299,0.509,292800,0.921,0.000276,"F",0.178,-3.175,"Minor",0.268,"149.94799999999998","4-Apr",0.273,"Electronic"
"10",56950,"Shlump","Lazer Beam",22,0.00934,0.578,204800,0.731,0.0112,"A",0.111,-7.091,"Minor",0.173,"139.933","4-Apr",0.203,"Electronic"
"11",49030,"Chase & Status","Lost & Not Found - Acoustic",30,0.855,0.607,170463,0.158,0,"F#",0.106,-13.787,"Minor",0.0345,"57.528","4-Apr",0.307,"Electronic"
"12",22654,"G Jones","Mind",27,0.0337,0.513,165132,0.828,0.569,"B",0.109,-5.439,"Minor",0.0609,"178.543","3-Apr",0.0591,"Electronic"
"13",69056,"Champagne Drip","Satellite (Feat. Len X)",31,0.016,0.66,236089,0.892,0.000605,"C",0.163,-3.464,"Major",0.0645,"128.043","4-Apr",0.111,"Electronic"
"14",62039,"DJ Shadow","Broken Levee Blues",31,0.86,0.737,-1,0.405,0.0361,"A",0.173,-10.536,"Minor",0.0424,"154.745","4-Apr",0.647,"Electronic"
"15",49205,"Getter","Bonesaw",27,0.000194,0.601,243857,0.969,0.776,"D",0.409,-1.553,"Major",0.185,"139.911","4-Apr",0.198,"Electronic"
"16",83192,"Excision","Bring the Madness (Noisestorm Remix) [feat. Mayor Apeshit]",50,0.00331,0.391,240000,0.957,0.22,"G",0.112,-2.51,"Major",0.0904,"100.024","4-Apr",0.121,"Electronic"
"17",83926,"San Holo","One Thing",59,0.136,0.336,-1,0.746,0,"C#",0.737,-4.315,"Minor",0.0685,"151.756","4-Apr",0.21,"Electronic"
"18",54696,"Dillon Francis","Without You - The Rebirth",29,0.158,0.66,266282,0.784,0.000279,"C",0.0978,-4.396,"Minor",0.0571,"127.958","3-Apr",0.622,"Electronic"
"19",49375,"The Bloody Beetroots","Irreversible (feat. Anders Friden)",35,6.02e-05,0.259,185333,0.687,0.00862,"G#",0.338,-3.231,"Major",0.0413,"135.532","4-Apr",0.114,"Electronic"
"20",66905,"empty_field","7th Sevens",50,0.0281,0.656,307328,0.653,0.858,"F#",0.112,-11.883,"Minor",0.0396,"117.999","4-Apr",0.199,"Electronic"
"21",58010,"Alison Wonderland","Carry On",44,0.00804,0.516,241877,0.92,0.614,"A",0.801,-4.37,"Minor",0.0942,"145.02700000000002","4-Apr",0.332,"Electronic"
"22",56436,"RJD2","Doin' It Right (Instrumental Version)",29,0.00998,0.854,227756,0.335,0.67,"G",0.0761,-9.062,"Minor",0.0545,"83.943","4-Apr",0.509,"Electronic"
"23",62931,"Massive Attack","Five Man Army - 2012 Mix/Master",43,0.00949,0.629,364347,0.697,0.235,"F#",0.118,-11.293,"Major",0.0765,"162.266","4-Apr",0.844,"Electronic"
"24",50675,"Dillon Francis","We Are Impossible (feat. The Presets)",33,0.00825,0.659,215280,0.912,0,"F",0.543,-4.212,"Major",0.0562,"109.965","4-Apr",0.501,"Electronic"
"25",40033,"The Prodigy","Diesel Power",56,0.068,0.725,-1,0.877,3.62e-05,"C",0.09,-3.496,"Major",0.0646,"105.919","4-Apr",0.0977,"Electronic"
"26",36047,"empty_field","Revolution",34,0.0236,0.715,221050,0.978,0.000493,"D",0.216,-1.538,"Major",0.362,"125.109","4-Apr",0.418,"Electronic"
"27",81428,"Fatboy Slim","Sunset (Bird Of Prey) - The Aston Shuffle Remix Edit",21,0.00362,0.713,214000,0.824,0.492,"B",0.311,-7.475,"Minor",0.0409,"120.00200000000001","4-Apr",0.454,"Electronic"
"28",69214,"Barely Alive","Sell Your Soul",29,0.00336,0.291,309943,0.94,0.0001159999999999,"F",0.105,-4.044,"Minor",0.319,"174.86","4-Apr",0.146,"Electronic"
"29",75870,"Daniel Avery","Glitter - Jon Hopkins Remix",31,0.0422,0.6,446413,0.796,0.911,"E",0.145,-12.749,"Minor",0.0468,"115.01","4-Apr",0.0318,"Electronic"
"30",21409,"Boombox Cartel","Widdit - Dabow Remix",28,0.0336,0.74,222241,0.83,0.401,"C#",0.0961,-3.783,"Major",0.0603,"135.05700000000002","4-Apr",0.155,"Electronic"
"31",78743,"Big Gigantic","The Night Is Young (feat. Cherub)",35,0.000556,0.585,264576,0.953,0.00949,"D",0.385,-2.734,"Minor",0.0797,"127.98899999999999","4-Apr",0.661,"Electronic"
"32",63497,"Jon Hopkins","Everything Connected - Stephan Hinz Remix",48,0.0001899999999999,0.595,467816,0.942,0.72,"G",0.318,-11.22,"Major",0.0416,"130.013","4-Apr",0.0333,"Electronic"
"33",25836,"PEEKABOO","Arrival",45,0.0233,0.729,274286,0.869,0.585,"F",0.0944,-7.569,"Minor",0.129,"?","4-Apr",0.138,"Electronic"
"34",51979,"Portishead","All Mine",53,0.103,0.573,240627,0.686,0.0117,"B",0.112,-2.706,"Major",0.0549,"60.191","4-Apr",0.29,"Electronic"
"35",64269,"Massive Attack","Paradise Circus",63,0.414,0.81,297775,0.591,0.799,"G#",0.072,-13.385,"Major",0.0638,"136.028","4-Apr",0.297,"Electronic"
"36",27048,"Fabian Mazur","If U Wanted To",33,0.108,0.493,-1,0.682,0,"A",0.196,-5.781,"Minor",0.287,"?","4-Apr",0.239,"Electronic"
"37",55617,"Wax Tailor","The Games You Play",45,0.0478,0.646,253333,0.649,0.00252,"G",0.353,-5.259,"Major",0.117,"?","4-Apr",0.727,"Electronic"
"38",28849,"The Crystal Method","110 to the 101",25,0.149,0.419,346324,0.879,0.476,"D",0.261,-2.876,"Major",0.0481,"109.055","4-Apr",0.61,"Electronic"
"39",87650,"Air","Space Maker",36,0.66,0.605,242773,0.555,0.862,"F",0.28,-9.661,"Minor",0.035,"160.179","4-Apr",0.462,"Electronic"
"40",69685,"Dahu","Vessel",37,0.203,0.769,429941,0.551,0.882,"A#",0.109,-12.52,"Minor",0.0408,"?","4-Apr",0.0618,"Electronic"
"41",50080,"The Presets","Ghosts",36,0.181,0.611,-1,0.676,5.35e-06,"C#",0.139,-9.113,"Major",0.0461,"139.959","4-Apr",0.573,"Electronic"
"42",83854,"UNKLE","Lonely Soul",51,0.0776,0.475,533013,0.591,0.0549,"A",0.109,-7.854,"Minor",0.0374,"?","4-Apr",0.123,"Electronic"
"43",85160,"Digitalism","Pogo - Shinichi Osawa Extended Remix",34,7.88e-05,0.578,367307,0.76,0.015,"C",0.0538,-5.865,"Major",0.0441,"136.059","4-Apr",0.575,"Electronic"
"44",82465,"!!!","Our Love (U Can Get)",43,0.169,0.685,-1,0.909,0.000663,"C",0.942,-7.627,"Major",0.043,"119.978","4-Apr",0.962,"Electronic"
"45",37340,"empty_field","World (The Price Of Love) - [Radio Edit] [2015 Remastered Version]",31,0.0035,0.595,222147,0.904,0.0037799999999999,"D",0.0533,-6.805,"Minor",0.0349,"127.61","4-Apr",0.841,"Electronic"
"46",32724,"Boogie T","Lit",37,0.00929,0.617,-1,0.896,0.0776,"A#",0.526,-0.317,"Minor",0.19,"149.92","4-Apr",0.546,"Electronic"
"47",77227,"JOYRYDE","GIVE MY LOVE",48,0.00409,0.721,260952,0.938,0.275,"C#",0.38,-3.818,"Major",0.0921,"126.01100000000001","4-Apr",0.161,"Electronic"
"48",89698,"Thievery Corporation","Bario Alto",30,0.0579999999999999,0.815,233893,0.509,0.877,"A",0.0954,-12.991,"Minor",0.0486,"113.475","4-Apr",0.771,"Electronic"
"49",46931,"Jon Hopkins","Lost In Thought",55,0.636,0.62,376733,0.318,0.879,"C#",0.118,-15.88,"Major",0.0399,"150.379","4-Apr",0.2,"Electronic"
"50",21011,"The Prodigy","Get Up Get Off",25,0.0378,0.716,259587,0.986,0.382,"G",0.159,-3.46,"Major",0.0676,"125.971","4-Apr",0.681,"Electronic"
"51",52294,"Ottawan","D.I.S.C.O - English Version",49,0.111,0.714,196507,0.867,8.55e-05,"G",0.325,-6.295,"Minor",0.0569,"122.915","4-Apr",0.872,"Electronic"
